Codebase,Feature,Cluster,CLIP,CRIP,CROP,CWOP,CIP,COP,CPIF,CIOF,Orchestrator
Acme-Series-maven,SeasonController.adminDelete,2,0.500000,0.500000,0.400000,0.600000,0.363636,0.357143,0.909091,1.000000,1
Acme-Series-maven,SeasonController.adminDelete,3,0.333333,0.666667,0.666667,0.333333,0.272727,0.214286,0.818182,0.800000,0
Acme-Series-maven,SeasonController.adminDelete,0,0.000000,1.000000,1.000000,0.000000,0.363636,0.428571,1.272727,1.200000,0
Acme-Series-maven,SeasonController.save,0,0.000000,1.000000,1.000000,0.000000,0.400000,0.428571,1.148936,1.125000,0
Acme-Series-maven,SeasonController.save,2,0.500000,0.500000,0.555556,0.444444,0.400000,0.428571,0.893617,1.125000,1
Acme-Series-maven,SeasonController.save,3,0.333333,0.666667,0.666667,0.333333,0.200000,0.142857,0.957447,0.750000,0
Acme-Series-maven,ApplicationController.create,0,0.000000,1.000000,1.000000,0.000000,0.357143,0.500000,1.363636,1.440000,0
Acme-Series-maven,ApplicationController.create,1,0.166667,0.833333,0.714286,0.285714,0.428571,0.350000,0.727273,0.840000,0
Acme-Series-maven,ApplicationController.create,3,0.000000,1.000000,1.000000,0.000000,0.214286,0.150000,0.909091,0.720000,1
Acme-Series-maven,SerieController.adminDelete,0,0.000000,1.000000,1.000000,0.000000,0.476190,0.468750,0.819876,1.080000,0
Acme-Series-maven,SerieController.adminDelete,3,0.333333,0.666667,0.800000,0.200000,0.428571,0.468750,0.838509,1.200000,0
Acme-Series-maven,SerieController.adminDelete,1,0.500000,0.500000,0.500000,0.500000,0.095238,0.062500,1.341615,0.720000,1
Acme-Series-maven,ApplicationController.save,3,1.000000,0.000000,0.000000,1.000000,0.071429,0.050000,0.000000,0.768293,0
Acme-Series-maven,ApplicationController.save,0,0.000000,1.000000,1.000000,0.000000,0.500000,0.550000,1.615385,1.207317,1
Acme-Series-maven,ApplicationController.save,1,0.333333,0.666667,0.625000,0.375000,0.428571,0.400000,1.384615,1.024390,0
Acme-Series-maven,CritiqueController.save,3,1.000000,0.000000,0.000000,1.000000,0.083333,0.055556,0.000000,0.743802,1
Acme-Series-maven,CritiqueController.save,0,0.000000,1.000000,1.000000,0.000000,0.500000,0.611111,1.636364,1.363636,0
Acme-Series-maven,CritiqueController.save,4,0.400000,0.600000,0.500000,0.500000,0.416667,0.333333,1.363636,0.892562,0
Acme-Series-maven,ApplicationController.accept,3,0.250000,0.750000,0.750000,0.250000,0.250000,0.173913,1.066667,0.709459,0
Acme-Series-maven,ApplicationController.accept,0,0.000000,1.000000,1.000000,0.000000,0.312500,0.391304,1.000000,1.277027,1
Acme-Series-maven,ApplicationController.accept,1,0.142857,0.857143,0.800000,0.200000,0.437500,0.434783,0.933333,1.013514,0
Acme-Series-maven,SeasonController.delete,0,0.000000,1.000000,1.000000,0.000000,0.363636,0.428571,1.272727,1.200000,0
Acme-Series-maven,SeasonController.delete,2,0.500000,0.500000,0.400000,0.600000,0.363636,0.357143,0.909091,1.000000,1
Acme-Series-maven,SeasonController.delete,3,0.333333,0.666667,0.666667,0.333333,0.272727,0.214286,0.818182,0.800000,0
Acme-Series-maven,SerieController.delete,0,0.000000,1.000000,1.000000,0.000000,0.476190,0.468750,0.819876,1.080000,0
Acme-Series-maven,SerieController.delete,3,0.333333,0.666667,0.800000,0.200000,0.428571,0.468750,0.838509,1.200000,0
Acme-Series-maven,SerieController.delete,1,0.500000,0.500000,0.500000,0.500000,0.095238,0.062500,1.341615,0.720000,1
Acme-Series-maven,SerieController.save,2,0.500000,0.500000,0.500000,0.500000,0.173913,0.187500,0.379147,1.125000,1
Acme-Series-maven,SerieController.save,0,0.000000,1.000000,1.000000,0.000000,0.391304,0.468750,0.663507,1.250000,0
Acme-Series-maven,SerieController.save,3,0.500000,0.500000,0.571429,0.428571,0.260870,0.218750,1.061611,0.875000,0
Acme-Series-maven,SerieController.save,1,0.250000,0.750000,0.750000,0.250000,0.173913,0.125000,1.895735,0.750000,0
Acme-Series-maven,SerieController.adminSave,0,0.000000,1.000000,1.000000,0.000000,0.413793,0.441860,1.005917,1.143639,0
Acme-Series-maven,SerieController.adminSave,3,0.272727,0.727273,0.812500,0.187500,0.379310,0.372093,1.041420,1.050616,0
Acme-Series-maven,SerieController.adminSave,1,0.500000,0.500000,0.500000,0.500000,0.068966,0.046512,1.301775,0.722298,1
Acme-Series-maven,SerieController.adminSave,2,0.500000,0.500000,0.500000,0.500000,0.137931,0.139535,0.650888,1.083447,0
Acme-Supermarket-maven,CommentController.create,1,0.666667,0.333333,0.333333,0.666667,0.375000,0.300000,1.500000,0.600000,0
Acme-Supermarket-maven,CommentController.create,3,0.750000,0.250000,0.250000,0.750000,0.500000,0.400000,1.500000,0.600000,0
Acme-Supermarket-maven,CommentController.create,0,0.000000,1.000000,1.000000,0.000000,0.125000,0.300000,0.000000,1.800000,1
Acme-Supermarket-maven,ItemConsumerController.add,0,0.000000,1.000000,1.000000,0.000000,0.418605,0.333333,0.380583,0.871369,1
Acme-Supermarket-maven,ItemConsumerController.add,4,0.190476,0.809524,0.833333,0.166667,0.488372,0.600000,0.283059,1.344398,0
Acme-Supermarket-maven,ItemConsumerController.add,1,0.250000,0.750000,0.750000,0.250000,0.093023,0.066667,2.336358,0.784232,0
Acme-Supermarket-maven,ItemAdministratorController.delete,0,0.000000,1.000000,1.000000,0.000000,0.363636,0.400000,0.789474,1.125000,0
Acme-Supermarket-maven,ItemAdministratorController.delete,4,0.500000,0.500000,0.625000,0.375000,0.363636,0.400000,0.789474,1.125000,0
Acme-Supermarket-maven,ItemAdministratorController.delete,1,0.666667,0.333333,0.500000,0.500000,0.272727,0.200000,1.421053,0.750000,1
Acme-Supermarket-maven,ContentConsumerController.save,4,0.285714,0.714286,0.769231,0.230769,0.500000,0.619048,0.230769,1.373240,0
Acme-Supermarket-maven,ContentConsumerController.save,1,0.000000,1.000000,1.000000,0.000000,0.142857,0.095238,2.538461,0.739437,1
Acme-Supermarket-maven,ContentConsumerController.save,0,0.000000,1.000000,1.000000,0.000000,0.357143,0.285714,0.230769,0.887324,0
Acme-Supermarket-maven,OrderConsumerController.cancel,2,0.250000,0.750000,0.833333,0.166667,0.307692,0.352941,1.611940,1.153846,0
Acme-Supermarket-maven,OrderConsumerController.cancel,4,0.000000,1.000000,1.000000,0.000000,0.307692,0.235294,0.716418,0.769231,1
Acme-Supermarket-maven,OrderConsumerController.cancel,0,0.000000,1.000000,1.000000,0.000000,0.384615,0.411765,0.671642,1.076923,0
Acme-Supermarket-maven,CommentAdministratorController.delete,3,0.500000,0.500000,0.500000,0.500000,0.400000,0.285714,1.500000,0.600000,0
Acme-Supermarket-maven,CommentAdministratorController.delete,1,0.000000,1.000000,1.000000,0.000000,0.400000,0.285714,1.500000,0.600000,0
Acme-Supermarket-maven,CommentAdministratorController.delete,0,0.000000,1.000000,1.000000,0.000000,0.200000,0.428571,0.000000,1.800000,1
Acme-Supermarket-maven,WarehouseAdministratorController.delete,0,0.000000,1.000000,1.000000,0.000000,0.200000,0.333333,0.000000,1.500000,1
Acme-Supermarket-maven,WarehouseAdministratorController.delete,1,0.000000,1.000000,1.000000,0.000000,0.400000,0.222222,1.500000,0.500000,0
Acme-Supermarket-maven,WarehouseAdministratorController.delete,7,0.500000,0.500000,0.750000,0.250000,0.400000,0.444444,1.500000,1.000000,0
Acme-Supermarket-maven,ContentConsumerController.delete,0,0.000000,1.000000,1.000000,0.000000,0.416667,0.315789,1.500000,0.857143,1
Acme-Supermarket-maven,ContentConsumerController.delete,1,0.000000,1.000000,1.000000,0.000000,0.083333,0.052632,0.000000,0.714286,0
Acme-Supermarket-maven,ContentConsumerController.delete,4,0.333333,0.666667,0.750000,0.250000,0.500000,0.631579,1.500000,1.428571,0
Acme-Supermarket-maven,CommentController.save,1,0.000000,1.000000,1.000000,0.000000,0.300000,0.214286,1.000000,0.692308,0
Acme-Supermarket-maven,CommentController.save,0,0.000000,1.000000,1.000000,0.000000,0.300000,0.500000,1.000000,1.615385,0
Acme-Supermarket-maven,CommentController.save,3,0.500000,0.500000,0.500000,0.500000,0.400000,0.285714,1.000000,0.692308,1
Acme-Supermarket-maven,RegisterController.save,0,1.000000,0.000000,0.363636,0.636364,0.400000,0.687500,2.250000,1.941177,0
Acme-Supermarket-maven,RegisterController.save,4,1.000000,0.000000,0.000000,1.000000,0.400000,0.250000,0.750000,0.705882,0
Acme-Supermarket-maven,RegisterController.save,2,1.000000,0.000000,0.000000,1.000000,0.200000,0.062500,0.000000,0.352941,1
Acme-Supermarket-maven,StorageAdministratorController.create,7,0.500000,0.500000,0.500000,0.500000,0.500000,0.444444,3.000000,0.857143,0
