Codebase,Feature,Type,Cluster,Entities,CLIP,CRIP,CROP,CWOP,CIP,COP,CPIF,CIOF,Orchestrator
ldod-static,AdminController.deleteVirtualEdition,SAGA,4,"SocialMediaCriteria, Citation, InfoRange, ",1.000000,0.000000,0.300000,0.700000,0.034483,0.034130,2.902713,0.034130,1
ldod-static,AdminController.loadVirtualCorpus,SAGA,1,"Member, Section, Annotation, VirtualEdition, VirtualEditionInter, Category, HumanAnnotation, Range, Tag, Taxonomy, RecommendationWeights, ",0.740385,0.259615,0.401914,0.598086,0.446352,0.470721,0.208941,0.470721,0
ldod-static,AdminController.loadVirtualCorpus,SAGA,3,"ClassificationGame, Player, ClassificationGameParticipant, ClassificationGameRound, ",0.714286,0.285714,0.407407,0.592593,0.180258,0.182432,0.373729,0.182432,0
ldod-static,AdminController.loadVirtualCorpus,SAGA,4,"TimeWindow, MediaSource, Frequency, SocialMediaCriteria, GeographicLocation, Citation, InfoRange, ",1.000000,0.000000,0.318182,0.681818,0.055794,0.049550,2.582510,0.049550,1
ldod-static,AdminController.loadVirtualCorpus,SAGA,0,"AnnexNote, NoteText, NullEdition, PbText, RdgText, Edition, RefText, ExpertEdition, ExpertEditionInter, FragInter, Fragment, Source, Heteronym, SourceInter, LbText, LdoD, LdoDDate, ",0.553191,0.446809,0.561905,0.438095,0.201717,0.236486,0.636271,0.236486,0
ldod-static,AdminController.loadVirtualCorpus,SAGA,2,"LdoDUser, ",0.740741,0.259259,0.259259,0.740741,0.115880,0.060811,1.198550,0.060811,0
ldod-static,AdminController.generateCitations,SAGA,4,"TimeWindow, Tweet, TwitterCitation, MediaSource, Frequency, AwareAnnotation, SocialMediaCriteria, GeographicLocation, Citation, InfoRange, LastTwitterID, ",0.412500,0.587500,0.676829,0.323171,0.295203,0.318447,0.506564,0.318447,0
ldod-static,AdminController.generateCitations,SAGA,1,"Section, Annotation, VirtualEdition, VirtualEditionInter, Category, HumanAnnotation, Range, Tag, Taxonomy, ",0.573333,0.426667,0.513333,0.486667,0.276753,0.291262,0.460674,0.291262,0
ldod-static,AdminController.generateCitations,SAGA,2,"LdoDUser, ",0.857143,0.142857,0.142857,0.857143,0.051661,0.027184,3.322662,0.027184,1
ldod-static,AdminController.generateCitations,SAGA,3,"ClassificationGame, Player, ClassificationGameParticipant, ClassificationGameRound, ",0.714286,0.285714,0.407407,0.592593,0.051661,0.052427,0.276889,0.052427,0
